user_id,raw_similarity,common_items,DF,DS,Target_User,Target_Label,Cluster
B00X93JBKK,0.07532672261991447,2.0,0.4,0.030130689047965786,B00W4EAF1E,U1,0
B00FLRJTWM,0.04752710468137697,2.0,0.4,0.01901084187255079,B00W4EAF1E,U1,0
B00SZ2SWH8,0.07404360971988654,1.0,0.25,0.018510902429971634,B00W4EAF1E,U1,0
B006Z1W59M,0.06971609181356819,1.0,0.25,0.017429022953392048,B00W4EAF1E,U1,0
B00NICALGK,0.06759225880448438,1.0,0.25,0.016898064701121096,B00W4EAF1E,U1,0
B00R7RHN7W,0.06759225880448438,1.0,0.25,0.016898064701121096,B00W4EAF1E,U1,0
B00WB59A2Q,0.06293895645892071,1.0,0.25,0.015734739114730178,B00W4EAF1E,U1,0
B003HB0L4Y,0.05923488777590924,1.0,0.25,0.01480872194397731,B00W4EAF1E,U1,0
B001BCUMX6,0.058536613223855866,1.0,0.25,0.014634153305963966,B00W4EAF1E,U1,0
B00GK4CEZE,0.05518884821104349,1.0,0.25,0.013797212052760872,B00W4EAF1E,U1,0
B0084IXKDO,0.05407380704358752,1.0,0.25,0.01351845176089688,B00W4EAF1E,U1,0
B002SAE9CK,0.05285459511132984,1.0,0.25,0.01321364877783246,B00W4EAF1E,U1,0
B001B4RR9G,0.04787480249769716,1.0,0.25,0.01196870062442429,B00W4EAF1E,U1,0
B000VGMCLS,0.04757519652085599,1.0,0.25,0.011893799130213998,B00W4EAF1E,U1,0
B00000JKM3,0.04646766902382153,1.0,0.25,0.011616917255955383,B00W4EAF1E,U1,0
B013YY29EI,0.18065734338248104,2.0,0.4,0.07226293735299243,B013YY3Z2I,U2,0
B013YOSSNE,0.11091956367701421,2.0,0.4,0.044367825470805686,B013YY3Z2I,U2,0
B017OHG8W0,0.1488728335438534,1.0,0.25,0.03721820838596335,B013YY3Z2I,U2,0
B01CKMKSC0,0.25465828684918107,2.0,0.4,0.10186331473967243,B00LXINZGY,U3,0
B00OVPE9L6,0.1347165796283484,2.0,0.4,0.053886631851339364,B00LXINZGY,U3,0
B00LLVM2YO,0.10305182938963375,2.0,0.4,0.0412207317558535,B00LXINZGY,U3,0
B008C69SQG,0.0996300629735126,2.0,0.4,0.03985202518940504,B00LXINZGY,U3,0
B00BQBI5TA,0.09936753270698609,2.0,0.4,0.039747013082794436,B00LXINZGY,U3,0
