User_ID,Adjusted_Score,Num_Common_Items,Discount_Factor,Discounted_Similarity
A9Q28YTLYREO7,1.0000000000000004,70.0,1.0,1.0000000000000004
A1HCCW38EQQBTY,0.26052404030677645,12.0,0.5714285714285714,0.1488708801753008
A3HU0B9XUEVHIM,0.1791810201956408,14.0,0.6666666666666666,0.11945401346376053
A24N1BAS3CU27H,0.10361494350690756,12.0,0.5714285714285714,0.059208539146804316
A200C7YQJ45LRR,0.16577510998337341,7.0,0.3333333333333333,0.0552583699944578
A23FQRKY8W2MM4,0.15137369122406572,7.0,0.3333333333333333,0.05045789707468857
A17P4YJ8E81WNX,0.25340362380509834,4.0,0.19047619047619047,0.048267356915256826
A3PCTD8QM1BIXI,0.1389248745991242,7.0,0.3333333333333333,0.0463082915330414
AD3C29MKDX7V2,0.1179157474722088,8.0,0.38095238095238093,0.04492028475131764
AE31M52VLKOG6,0.08464511983801647,11.0,0.5238095238095238,0.044337919915151486
A3OLZXHFGUAMWW,0.22448626655748075,4.0,0.19047619047619047,0.04275928886809157
A23Y7ESOGEBSZT,0.2081682262672338,4.0,0.19047619047619047,0.03965109071756834
A14GK0E64J0WAS,0.16649832186761754,5.0,0.23809523809523808,0.039642457587527984
A3BY2QW7T0401N,0.24563009963363372,3.0,0.14285714285714285,0.035090014233376245
A1IUSWIWF7087C,0.11469287061260787,6.0,0.2857142857142857,0.032769391603602246
A1HFVQZIDK7UUD,0.15046531005297137,4.0,0.19047619047619047,0.02866005905770883
A24EXRGZ24WZ22,0.1200032523215597,5.0,0.23809523809523808,0.028572202933704688
A3RC3AK8UN89I9,0.13793703507812372,4.0,0.19047619047619047,0.02627372096726166
A1FML9FCUPV6TI,0.13363200349079524,4.0,0.19047619047619047,0.025453714950627662
A3GS5WAQVO4CFB,0.2591147910521782,2.0,0.09523809523809523,0.024677599147826496
AE9GUE3HHOX3U,0.12876552610146777,4.0,0.19047619047619047,0.02452676687647005
A2A788AUOVBOL2,0.2539663751905731,2.0,0.09523809523809523,0.024187273827673626
A1GN8UJIZLCA59,0.12159172635675215,4.0,0.19047619047619047,0.02316032882985755
A32XSKO7TOI0BH,0.2417955702659611,2.0,0.09523809523809523,0.023028149549139152
A70YTUFJY5HXN,0.2290961272134726,2.0,0.09523809523809523,0.021818678782235486
AHUT55E980RDR,0.20032273572237666,2.0,0.09523809523809523,0.019078355783083492
A1JRHL29A1ABOT,0.10010714913153129,4.0,0.19047619047619047,0.01906802840600596
AHMAQXXYIR6DK,0.19255560929719126,2.0,0.09523809523809523,0.018338629456875356
