Target_User,Neighbor_User_ID,Similarity_Score
A34K2FO44NYURI,A2AGBX1789PWJC,1.0
A34K2FO44NYURI,AL15YFAB07LKV,1.0
A34K2FO44NYURI,ASVWBOALTZZU1,1.0
A34K2FO44NYURI,A2ZT3GOSK72HEI,1.0
A34K2FO44NYURI,A2ASQGFI5YZFCQ,1.0
A34K2FO44NYURI,A34CP84DFACLT1,1.0
A34K2FO44NYURI,A3CCYAQRHUTPIQ,1.0
A34K2FO44NYURI,AP2XQM47CLN0M,1.0
A34K2FO44NYURI,A2G1U2X9V6DTFS,1.0
A34K2FO44NYURI,ALI7AUOLFW1O8,1.0
A34K2FO44NYURI,A1YKXNNLGNOTQE,1.0
A34K2FO44NYURI,A1JKVFOAFPRPO,1.0
A34K2FO44NYURI,AMRU9UIZCTJTG,1.0
A34K2FO44NYURI,ASJAKT8DJIAC5,1.0
A34K2FO44NYURI,A26TXM316Q7AUX,1.0
A34K2FO44NYURI,A3RY8EBN54Y4GV,1.0
A34K2FO44NYURI,AMZCQIDUWDHLC,0.5252257314388902
A34K2FO44NYURI,AFQDRCED0VFZQ,0.0
A34K2FO44NYURI,AQRTMKGT0BCT0,0.0
A34K2FO44NYURI,A22FY49L37J1VE,0.0
A34K2FO44NYURI,A1S1UJ7PE5L35H,0.0
A34K2FO44NYURI,A1ESN4P0XN7N80,0.0
A34K2FO44NYURI,ADBKWOU9NUR88,0.0
A34K2FO44NYURI,A1CLHHAMY6VWEA,0.0
A34K2FO44NYURI,A3R5ZPFGM6UFUK,0.0
A34K2FO44NYURI,A2E5QX7UOUPBZU,0.0
A34K2FO44NYURI,AP0JOP0ZIZX39,0.0
A34K2FO44NYURI,A2EGX7MSDHDB21,0.0
A34K2FO44NYURI,ATR07KMGZD9N4,0.0
A34K2FO44NYURI,A22YPFJLF6F6OT,0.0
A34K2FO44NYURI,AIH90FLV9BENC,0.0
A34K2FO44NYURI,AFWW05PK2EV4S,0.0
A34K2FO44NYURI,AMHBXKICAQPIP,0.0
A34K2FO44NYURI,A3GE4N34T68BHU,0.0
A34K2FO44NYURI,A2YPTISJP5VJU3,0.0
A34K2FO44NYURI,AVQ4CIC65LSJ4,0.0
A34K2FO44NYURI,A3U6KOO3S0HHF5,0.0
A34K2FO44NYURI,A22ISBZ17OD1DY,0.0
A34K2FO44NYURI,AJQ7GNGTFA2QJ,0.0
A34K2FO44NYURI,A1S77W18F8OCU3,0.0
A34K2FO44NYURI,A2ZKWL6XSQ38JY,0.0
A34K2FO44NYURI,A2RYCJL5O9EYNK,0.0
A34K2FO44NYURI,A1E96U46O2DEWV,0.0
A34K2FO44NYURI,A3RN6425DSFAKS,0.0
A34K2FO44NYURI,A1JEGWZVQSA32F,0.0
A34K2FO44NYURI,A1ZJ1T4JKODMV,0.0
A34K2FO44NYURI,A98OELK3D29AT,0.0
A34K2FO44NYURI,A1MXL94FPRIV1B,0.0
A34K2FO44NYURI,AJU0S2LDS3OGR,0.0
A34K2FO44NYURI,A1ED4S4IV3LIYO,0.0
