Target_User,Neighbor_User_ID,Similarity_Score
A3W4D8XOGLWUN5,AK0H0GRSKKOBO,0.8909
A3W4D8XOGLWUN5,A3IY9HIAMJQ7HL,0.8709
A3W4D8XOGLWUN5,A1IPYBGXRLS6MX,0.8694
A3W4D8XOGLWUN5,A3QOQY24XUTR28,0.8656
A3W4D8XOGLWUN5,AD5R0C4EO8M9E,0.8393
A3W4D8XOGLWUN5,A36XJ5PAWMXHCV,0.8231
A3W4D8XOGLWUN5,A1NQFV0KQPM366,0.8209
A3W4D8XOGLWUN5,A1Z0KQUE6A5F9,0.8117
A3W4D8XOGLWUN5,AIYB8FUXTF365,0.8106
A3W4D8XOGLWUN5,A368R6C5ZEO71R,0.8057
A3W4D8XOGLWUN5,A3837D2JE16VV4,0.8019
A3W4D8XOGLWUN5,A3BOOKRS5ZP3C0,0.7967
A3W4D8XOGLWUN5,A2H1Y7ZBZ5T5RK,0.7816
A3W4D8XOGLWUN5,A3P6CNMHR2QHA6,0.7784
A3W4D8XOGLWUN5,A11N3OBQ69FWWS,0.7699
A3W4D8XOGLWUN5,A1SDLTS9NX8FU1,0.7687
A3W4D8XOGLWUN5,A1KNYQPZ1JQD62,0.7678
A3W4D8XOGLWUN5,A5LWPQ0QOMJUJ,0.7652
A3W4D8XOGLWUN5,A1P8K7Z2MH7N45,0.7637
A3W4D8XOGLWUN5,AOS5QU6ESIVH7,0.761
A3W4D8XOGLWUN5,A3EEKCGMZ2UQUE,0.7593
A3W4D8XOGLWUN5,A3P9S4BNKUQTN8,0.7548
A3W4D8XOGLWUN5,A2AZUXDVXH8I9Y,0.7544
A3W4D8XOGLWUN5,A3RD7EBN2R05AU,0.751
A3W4D8XOGLWUN5,A1DBDCQASEIMDW,0.749
A3W4D8XOGLWUN5,A2IEPBNFEP5WET,0.7477
A3W4D8XOGLWUN5,AKJVEVCNRFEH9,0.7407
A3W4D8XOGLWUN5,A27NZDGOHSBIWH,0.7404
A3W4D8XOGLWUN5,A1UODWQ2K6DFXT,0.7362
A3W4D8XOGLWUN5,A24VC4AAML4CN6,0.7353
A3W4D8XOGLWUN5,A3U4QDRXBFJ28K,0.7345
A3W4D8XOGLWUN5,A1VL4IHJN57KSK,0.7324
A3W4D8XOGLWUN5,A2MHUU86G2M1LD,0.7271
A3W4D8XOGLWUN5,A25NLJU2DAJV11,0.7255
A3W4D8XOGLWUN5,AEN6Z8ZH80IB5,0.7227
A3W4D8XOGLWUN5,A3TABK9RBNMVHG,0.7209
A3W4D8XOGLWUN5,AH0AG1JFF0Q2N,0.7189
A3W4D8XOGLWUN5,AJGAZZE3HWAT2,0.7187
A3W4D8XOGLWUN5,A1M11BADP37BKF,0.717
A3W4D8XOGLWUN5,A38S8B85C5WGAY,0.7152
A3W4D8XOGLWUN5,AODPUCXAQ1FHD,0.7132
A3W4D8XOGLWUN5,A1LMH3D9Z7IW1H,0.7104
A3W4D8XOGLWUN5,A2YC5ZB80HXKNS,0.71
A3W4D8XOGLWUN5,A2ADCQKOPLX63B,0.7066
A3W4D8XOGLWUN5,A12AHK0NQ5SQHH,0.702
A3W4D8XOGLWUN5,A3HD1C4H9TXL79,0.6842
A3W4D8XOGLWUN5,A1VY2GRZAG1H6Y,0.6749
A3W4D8XOGLWUN5,A17LU2UW3VWN60,0.674
A3W4D8XOGLWUN5,A3GP0OT1V0LFEG,0.6633
A3W4D8XOGLWUN5,A1WUSM5U3RQELL,0.6617
