User,Avg_Common_Ratings,Actual,Predicted,Abs_Error
B00LXINZGY,0.003891539040923927,5.0,4.190443256268485,0.8095567437315152
B000TEAZW0,0.001631935726839066,5.0,5.0,0.0
B00005AMI3,0.0005021340697966357,5.0,4.132038662016076,0.8679613379839237
B014XRRX5U,0.0005021340697966357,5.0,5.0,0.0
B005EYWT88,0.006276675872457946,5.0,5.0,0.0
B00T8F5PBW,0.0026362038664323375,5.0,5.0,0.0
B00C8CESVA,0.00025106703489831785,5.0,4.0,1.0
B00137V0M6,0.0055234747677629925,5.0,5.0,0.0
B00KF7VDN6,0.0023851368315340195,5.0,5.0,0.0
B002K3ZERY,0.001506402209389907,5.0,5.0,0.0
B00137VMQK,0.0025106703489831783,5.0,5.0,0.0
B0026EVHDW,0.0006276675872457946,5.0,5.0,0.0
B0170977WC,0.0037660055234747677,5.0,5.000000000000001,8.881784197001252e-16
B00BJTS2F6,0.0022596033140848608,5.0,5.0,0.0
B005J582BK,0.004017072558373086,5.0,4.595572499337463,0.4044275006625373
B00X0F2EGU,0.005649008285212151,3.0,3.4415979590678436,0.4415979590678436
B0076BWEJ6,0.0026362038664323375,5.0,4.999999999999999,8.881784197001252e-16
B00JYDHVO2,0.0008787346221441124,5.0,5.0,0.0
B009XY70HU,0.0027617373838814963,5.0,5.0,0.0
B00STFB4XU,0.011046949535525985,4.0,4.325006608632282,0.3250066086322816
B002EHV6F0,0.8,4.0,8.0,4.0
B00137WU6Q,0.004895807180517198,4.0,4.9205811721204205,0.9205811721204205
B000W23AK8,0.004393673110720563,5.0,5.6944928751688675,0.6944928751688675
B005PO2DVK,0.008912879738890284,5.0,5.0,0.0
B004RSGKTQ,0.0018830027617373838,5.0,4.710028906694714,0.2899710933052857
B00137XI12,0.005397941250313834,4.0,6.380958911256549,2.380958911256549
B008OI1PUO,0.004393673110720563,5.0,5.0,0.0
B00CM1NXHC,0.008536279186542806,1.0,10.0,9.0
B00HXCHEX4,0.12041884816753927,5.0,5.0,0.0
B00S8Y9QQE,0.005021340697966357,5.0,5.0,0.0
B000FCDBKY,0.006402209389907106,5.0,5.0,0.0
B016SY57EK,0.05172413793103448,5.0,5.0,0.0
B0012357G6,0.0007532011046949536,3.0,5.0,2.0
B005N2CYPO,0.0028872709013306555,5.0,5.0,0.0
B00E860T26,0.005272407732864675,5.0,1.0,4.0
B00B2LQDPW,0.01292995229726337,3.0,3.0249937765502466,0.024993776550246594
B00DIQ40YA,0.0003766005523474768,5.0,5.0,0.0
B00OLSUQJW,0.010921416018076826,5.0,4.999999999999997,2.6645352591003757e-15
B00124410S,0.005272407732864675,5.0,4.0,1.0
